datetime,station_id,totalDemand,totalSupply
2016-10-01T17:00:00.000-04:00,346,1,4
2016-10-02T17:00:00.000-04:00,3158,3,2
2016-10-02T21:00:00.000-04:00,346,1,3
2016-10-03T18:00:00.000-04:00,195,3,1
2016-10-04T14:00:00.000-04:00,280,1,1
2016-10-04T20:00:00.000-04:00,3002,2,2
2016-10-05T10:00:00.000-04:00,3140,1,1
2016-10-05T20:00:00.000-04:00,3255,2,4
2016-10-06T08:00:00.000-04:00,3224,1,2
2016-10-06T23:00:00.000-04:00,488,1,1
2016-10-07T07:00:00.000-04:00,468,7,6
2016-10-07T08:00:00.000-04:00,457,5,1
2016-10-07T13:00:00.000-04:00,153,3,6
2016-10-07T18:00:00.000-04:00,319,2,1
2016-10-07T20:00:00.000-04:00,161,2,4
2016-10-07T22:00:00.000-04:00,346,1,1
2016-10-09T14:00:00.000-04:00,445,1,1
2016-10-10T14:00:00.000-04:00,346,2,1
2016-10-11T09:00:00.000-04:00,537,2,4
2016-10-11T22:00:00.000-04:00,238,2,1
2016-10-12T20:00:00.000-04:00,259,1,1
2016-10-12T20:00:00.000-04:00,3424,1,1
2016-10-13T11:00:00.000-04:00,2002,3,2
2016-10-13T13:00:00.000-04:00,195,5,2
2016-10-14T08:00:00.000-04:00,3383,2,1
2016-10-15T08:00:00.000-04:00,395,1,2
2016-10-15T12:00:00.000-04:00,3283,1,1
2016-10-15T13:00:00.000-04:00,445,2,5
2016-10-15T13:00:00.000-04:00,3255,3,6
2016-10-15T16:00:00.000-04:00,116,1,5
2016-10-16T07:00:00.000-04:00,324,1,1
2016-10-16T16:00:00.000-04:00,3383,3,5
2016-10-16T18:00:00.000-04:00,526,3,1
2016-10-16T19:00:00.000-04:00,457,4,3
2016-10-17T06:00:00.000-04:00,488,1,1
2016-10-17T07:00:00.000-04:00,488,2,1
2016-10-17T09:00:00.000-04:00,445,5,4
2016-10-17T10:00:00.000-04:00,252,2,2
2016-10-17T16:00:00.000-04:00,153,5,4
2016-10-17T18:00:00.000-04:00,279,4,2
2016-10-18T07:00:00.000-04:00,168,2,3
2016-10-18T07:00:00.000-04:00,312,5,2
2016-10-18T07:00:00.000-04:00,3311,1,1
2016-10-18T11:00:00.000-04:00,3158,1,3
2016-10-18T12:00:00.000-04:00,347,1,1
2016-10-19T07:00:00.000-04:00,116,3,1
2016-10-19T11:00:00.000-04:00,526,2,1
2016-10-19T12:00:00.000-04:00,3373,2,2
2016-10-19T20:00:00.000-04:00,3427,3,1
2016-10-19T21:00:00.000-04:00,3397,1,1
2016-10-19T23:00:00.000-04:00,2003,1,1
2016-10-20T10:00:00.000-04:00,457,3,2
2016-10-20T17:00:00.000-04:00,322,1,4
2016-10-20T17:00:00.000-04:00,526,1,2
2016-10-20T17:00:00.000-04:00,3175,1,1
2016-10-20T18:00:00.000-04:00,307,1,3
2016-10-21T16:00:00.000-04:00,2017,3,1
2016-10-21T19:00:00.000-04:00,3357,1,1
2016-10-21T21:00:00.000-04:00,347,1,1
2016-10-22T16:00:00.000-04:00,195,1,1
2016-10-23T18:00:00.000-04:00,2003,1,1
2016-10-24T09:00:00.000-04:00,279,2,2
2016-10-24T11:00:00.000-04:00,346,2,1
2016-10-24T13:00:00.000-04:00,3255,3,4
2016-10-24T16:00:00.000-04:00,307,1,1
2016-10-25T11:00:00.000-04:00,3387,1,2
2016-10-25T13:00:00.000-04:00,2012,3,2
2016-10-25T17:00:00.000-04:00,461,2,4
2016-10-26T15:00:00.000-04:00,461,2,2
2016-10-26T17:00:00.000-04:00,319,4,1
2016-10-26T18:00:00.000-04:00,460,2,1
2016-10-27T10:00:00.000-04:00,488,2,2
2016-10-28T10:00:00.000-04:00,369,3,2
2016-10-28T12:00:00.000-04:00,461,2,4
2016-10-29T18:00:00.000-04:00,3224,1,3
2016-10-30T13:00:00.000-04:00,445,3,4
2016-10-30T16:00:00.000-04:00,467,1,3
2016-10-30T20:00:00.000-04:00,161,2,2
2016-10-31T15:00:00.000-04:00,72,1,1
2016-10-31T15:00:00.000-04:00,3166,1,1
2016-10-31T19:00:00.000-04:00,143,1,1
2016-10-31T20:00:00.000-04:00,2003,2,3
2016-11-01T20:00:00.000-04:00,445,2,2
2016-11-02T09:00:00.000-04:00,2012,4,3
2016-11-02T10:00:00.000-04:00,312,1,1
2016-11-02T14:00:00.000-04:00,2003,2,3
2016-11-03T08:00:00.000-04:00,490,3,4
2016-11-03T09:00:00.000-04:00,530,3,2
2016-11-03T12:00:00.000-04:00,195,2,3
2016-11-03T12:00:00.000-04:00,3397,1,1
2016-11-03T14:00:00.000-04:00,3002,1,2
2016-11-03T17:00:00.000-04:00,3140,2,4
2016-11-03T18:00:00.000-04:00,3158,2,5
2016-11-03T19:00:00.000-04:00,153,2,2
2016-11-04T13:00:00.000-04:00,461,3,7
2016-11-04T18:00:00.000-04:00,116,1,1
2016-11-05T00:00:00.000-04:00,468,2,1
2016-11-05T07:00:00.000-04:00,536,2,3
2016-11-05T15:00:00.000-04:00,116,3,1
2016-11-05T16:00:00.000-04:00,252,2,4
2016-11-05T16:00:00.000-04:00,319,3,5
2016-11-06T06:00:00.000-05:00,312,1,1
2016-11-06T16:00:00.000-05:00,467,2,4
2016-11-07T08:00:00.000-05:00,143,3,1
2016-11-08T09:00:00.000-05:00,3241,1,1
