datetime,station_id,totalDemand,totalSupply
2016-10-01T14:00:00.000-04:00,534,1,1
2016-10-01T18:00:00.000-04:00,195,1,2
2016-10-02T12:00:00.000-04:00,454,2,1
2016-10-02T12:00:00.000-04:00,3148,2,3
2016-10-02T15:00:00.000-04:00,457,2,6
2016-10-02T20:00:00.000-04:00,445,1,4
2016-10-03T12:00:00.000-04:00,3354,1,2
2016-10-03T18:00:00.000-04:00,536,7,4
2016-10-03T22:00:00.000-04:00,3357,1,1
2016-10-04T08:00:00.000-04:00,534,1,3
2016-10-04T08:00:00.000-04:00,3322,1,2
2016-10-04T15:00:00.000-04:00,3246,2,1
2016-10-04T21:00:00.000-04:00,285,1,1
2016-10-04T22:00:00.000-04:00,490,4,2
2016-10-05T08:00:00.000-04:00,3373,1,1
2016-10-05T10:00:00.000-04:00,3165,1,2
2016-10-05T12:00:00.000-04:00,3002,1,2
2016-10-05T17:00:00.000-04:00,307,2,3
2016-10-05T17:00:00.000-04:00,3312,2,3
2016-10-05T19:00:00.000-04:00,346,1,1
2016-10-05T22:00:00.000-04:00,322,2,1
2016-10-06T10:00:00.000-04:00,457,1,4
2016-10-06T11:00:00.000-04:00,3359,1,2
2016-10-07T08:00:00.000-04:00,3415,1,2
2016-10-07T10:00:00.000-04:00,534,1,2
2016-10-07T11:00:00.000-04:00,3002,3,3
2016-10-07T18:00:00.000-04:00,373,1,1
2016-10-07T19:00:00.000-04:00,2012,1,1
2016-10-07T19:00:00.000-04:00,3347,1,1
2016-10-08T11:00:00.000-04:00,307,3,3
2016-10-08T12:00:00.000-04:00,116,1,1
2016-10-08T12:00:00.000-04:00,3255,3,5
2016-10-08T14:00:00.000-04:00,500,2,3
2016-10-08T15:00:00.000-04:00,143,1,1
2016-10-10T18:00:00.000-04:00,161,1,3
2016-10-10T18:00:00.000-04:00,461,4,5
2016-10-10T19:00:00.000-04:00,285,6,8
2016-10-10T21:00:00.000-04:00,2003,1,1
2016-10-11T18:00:00.000-04:00,252,3,3
2016-10-11T18:00:00.000-04:00,3255,5,3
2016-10-11T19:00:00.000-04:00,3373,1,1
2016-10-11T22:00:00.000-04:00,346,1,1
2016-10-12T10:00:00.000-04:00,3078,3,1
2016-10-12T17:00:00.000-04:00,3347,1,1
2016-10-12T20:00:00.000-04:00,461,4,2
2016-10-12T21:00:00.000-04:00,3397,1,1
2016-10-13T07:00:00.000-04:00,347,2,4
2016-10-13T14:00:00.000-04:00,347,2,3
2016-10-13T16:00:00.000-04:00,488,5,6
2016-10-13T17:00:00.000-04:00,346,2,6
2016-10-13T18:00:00.000-04:00,3175,1,5
2016-10-13T22:00:00.000-04:00,161,4,1
2016-10-14T12:00:00.000-04:00,3140,5,1
2016-10-14T16:00:00.000-04:00,3427,5,3
2016-10-15T17:00:00.000-04:00,460,1,4
2016-10-15T18:00:00.000-04:00,3376,2,1
2016-10-15T20:00:00.000-04:00,2004,2,2
2016-10-16T09:00:00.000-04:00,445,2,1
2016-10-16T11:00:00.000-04:00,3150,1,1
2016-10-16T13:00:00.000-04:00,3140,4,3
2016-10-17T06:00:00.000-04:00,279,1,1
2016-10-17T10:00:00.000-04:00,285,4,7
2016-10-17T16:00:00.000-04:00,3427,6,5
2016-10-17T17:00:00.000-04:00,3175,3,1
2016-10-17T19:00:00.000-04:00,347,2,7
2016-10-17T20:00:00.000-04:00,116,1,3
2016-10-17T20:00:00.000-04:00,530,1,2
2016-10-18T11:00:00.000-04:00,3255,2,1
2016-10-18T17:00:00.000-04:00,365,1,1
2016-10-18T20:00:00.000-04:00,312,1,4
2016-10-18T21:00:00.000-04:00,3175,3,2
2016-10-19T09:00:00.000-04:00,346,2,2
2016-10-19T17:00:00.000-04:00,324,2,2
2016-10-19T17:00:00.000-04:00,369,2,1
2016-10-19T21:00:00.000-04:00,143,2,2
2016-10-20T12:00:00.000-04:00,3246,1,1
2016-10-20T16:00:00.000-04:00,530,2,3
2016-10-20T18:00:00.000-04:00,252,3,4
2016-10-20T23:00:00.000-04:00,3158,1,1
2016-10-21T00:00:00.000-04:00,168,1,1
2016-10-21T17:00:00.000-04:00,285,7,5
2016-10-21T17:00:00.000-04:00,3224,5,3
2016-10-22T18:00:00.000-04:00,279,3,2
2016-10-23T00:00:00.000-04:00,488,1,2
2016-10-24T06:00:00.000-04:00,3373,1,2
2016-10-25T06:00:00.000-04:00,72,1,2
2016-10-25T10:00:00.000-04:00,490,1,2
2016-10-25T14:00:00.000-04:00,2003,1,1
2016-10-26T12:00:00.000-04:00,3002,5,1
2016-10-27T18:00:00.000-04:00,369,1,1
2016-10-27T22:00:00.000-04:00,2004,1,1
2016-10-28T19:00:00.000-04:00,116,1,2
2016-10-28T19:00:00.000-04:00,3175,4,1
2016-10-29T12:00:00.000-04:00,245,2,1
2016-10-29T16:00:00.000-04:00,445,2,1
2016-10-29T17:00:00.000-04:00,454,3,1
2016-10-29T19:00:00.000-04:00,526,2,1
2016-10-30T09:00:00.000-04:00,488,1,1
2016-10-31T13:00:00.000-04:00,3140,1,3
2016-10-31T23:00:00.000-04:00,468,1,1
2016-11-01T15:00:00.000-04:00,3002,2,2
2016-11-01T16:00:00.000-04:00,534,1,3
2016-11-02T07:00:00.000-04:00,3312,4,1
2016-11-02T08:00:00.000-04:00,530,4,2
2016-11-03T14:00:00.000-04:00,195,1,1
2016-11-03T17:00:00.000-04:00,349,1,1
2016-11-04T08:00:00.000-04:00,285,2,7
2016-11-04T08:00:00.000-04:00,460,1,3
2016-11-04T09:00:00.000-04:00,3255,2,6
2016-11-04T12:00:00.000-04:00,395,1,2
2016-11-06T10:00:00.000-05:00,238,2,2
2016-11-07T08:00:00.000-05:00,307,4,2
2016-11-07T15:00:00.000-05:00,280,2,1
2016-11-07T18:00:00.000-05:00,416,1,3
2016-11-08T18:00:00.000-05:00,3427,2,8
2016-11-09T20:00:00.000-05:00,3148,2,2
2016-11-10T17:00:00.000-05:00,490,3,8
2016-11-10T19:00:00.000-05:00,3306,1,1
2016-11-10T19:00:00.000-05:00,3357,1,1
2016-11-11T18:00:00.000-05:00,3255,2,6
2016-11-12T13:00:00.000-05:00,150,1,2
2016-11-12T14:00:00.000-05:00,488,3,2
2016-11-12T23:00:00.000-05:00,312,1,1
2016-11-13T16:00:00.000-05:00,3166,2,1
2016-11-13T19:00:00.000-05:00,312,2,2
2016-11-14T21:00:00.000-05:00,3255,3,3
2016-11-16T07:00:00.000-05:00,3373,1,1
2016-11-16T12:00:00.000-05:00,3357,1,1
2016-11-16T17:00:00.000-05:00,3396,1,2
2016-11-16T18:00:00.000-05:00,2004,5,1
2016-11-17T17:00:00.000-05:00,2017,6,2
2016-11-18T06:00:00.000-05:00,472,2,2
2016-11-18T19:00:00.000-05:00,461,1,1
2016-11-19T11:00:00.000-05:00,285,4,5
2016-11-19T15:00:00.000-05:00,3148,2,1
2016-11-20T15:00:00.000-05:00,472,1,1
2016-11-21T21:00:00.000-05:00,460,1,1
2016-11-22T15:00:00.000-05:00,150,2,3
2016-11-22T15:00:00.000-05:00,2017,1,1
2016-11-23T17:00:00.000-05:00,307,1,2
2016-11-24T16:00:00.000-05:00,490,1,1
2016-11-25T14:00:00.000-05:00,445,3,2
2016-11-26T17:00:00.000-05:00,457,3,1
2016-11-28T09:00:00.000-05:00,3359,2,1
2016-11-28T11:00:00.000-05:00,536,1,2
2016-11-28T19:00:00.000-05:00,460,2,1
2016-11-28T19:00:00.000-05:00,3357,1,1
2016-11-29T09:00:00.000-05:00,2012,1,1
2016-12-01T07:00:00.000-05:00,488,1,1
2016-12-01T12:00:00.000-05:00,3255,2,2
2016-12-01T13:00:00.000-05:00,488,1,1
2016-12-01T19:00:00.000-05:00,150,1,2
2016-12-01T22:00:00.000-05:00,490,2,1
2016-12-02T15:00:00.000-05:00,2003,2,2
2016-12-02T18:00:00.000-05:00,467,2,1
2016-12-03T15:00:00.000-05:00,457,1,3
