datetime,station_id,totalDemand,totalSupply
2016-10-01T10:00:00.000-04:00,348,1,1
2016-10-01T11:00:00.000-04:00,467,1,1
2016-10-01T17:00:00.000-04:00,3306,1,1
2016-10-02T11:00:00.000-04:00,526,2,1
2016-10-02T13:00:00.000-04:00,3002,2,3
2016-10-02T19:00:00.000-04:00,3353,1,1
2016-10-03T17:00:00.000-04:00,472,5,4
2016-10-03T18:00:00.000-04:00,152,1,2
2016-10-03T19:00:00.000-04:00,3357,1,1
2016-10-03T20:00:00.000-04:00,2017,1,1
2016-10-04T15:00:00.000-04:00,468,3,1
2016-10-04T16:00:00.000-04:00,260,4,2
2016-10-04T16:00:00.000-04:00,488,2,7
2016-10-05T16:00:00.000-04:00,346,2,3
2016-10-06T09:00:00.000-04:00,3427,2,2
2016-10-06T19:00:00.000-04:00,347,3,5
2016-10-07T11:00:00.000-04:00,3376,1,1
2016-10-07T14:00:00.000-04:00,252,1,2
2016-10-07T19:00:00.000-04:00,3078,1,1
2016-10-08T01:00:00.000-04:00,536,1,1
2016-10-08T10:00:00.000-04:00,116,2,2
2016-10-08T11:00:00.000-04:00,347,4,2
2016-10-08T13:00:00.000-04:00,467,1,2
2016-10-08T14:00:00.000-04:00,3165,3,1
2016-10-08T18:00:00.000-04:00,3255,1,1
2016-10-10T10:00:00.000-04:00,307,5,2
2016-10-11T15:00:00.000-04:00,3002,4,1
2016-10-11T16:00:00.000-04:00,3107,2,2
2016-10-11T18:00:00.000-04:00,472,5,6
2016-10-12T09:00:00.000-04:00,143,1,1
2016-10-12T11:00:00.000-04:00,454,1,1
2016-10-12T12:00:00.000-04:00,168,1,3
2016-10-12T12:00:00.000-04:00,260,1,1
2016-10-12T12:00:00.000-04:00,280,2,1
2016-10-12T16:00:00.000-04:00,168,4,4
2016-10-12T16:00:00.000-04:00,472,2,1
2016-10-13T11:00:00.000-04:00,468,2,3
2016-10-13T12:00:00.000-04:00,3354,2,1
2016-10-13T13:00:00.000-04:00,150,2,2
2016-10-14T09:00:00.000-04:00,259,3,3
2016-10-14T10:00:00.000-04:00,3073,1,2
2016-10-14T11:00:00.000-04:00,445,1,1
