datetime,station_id,totalDemand,totalSupply
2016-10-01T07:00:00.000-04:00,252,1,1
2016-10-01T16:00:00.000-04:00,369,2,3
2016-10-01T18:00:00.000-04:00,322,2,1
2016-10-02T16:00:00.000-04:00,369,2,2
2016-10-02T19:00:00.000-04:00,488,2,1
2016-10-03T13:00:00.000-04:00,168,8,3
2016-10-03T13:00:00.000-04:00,3246,1,1
2016-10-03T19:00:00.000-04:00,468,6,2
2016-10-03T19:00:00.000-04:00,537,6,4
2016-10-03T20:00:00.000-04:00,168,3,3
2016-10-04T18:00:00.000-04:00,280,1,5
2016-10-04T19:00:00.000-04:00,460,3,3
2016-10-05T07:00:00.000-04:00,312,3,1
2016-10-05T09:00:00.000-04:00,457,3,7
2016-10-05T17:00:00.000-04:00,2017,3,1
2016-10-05T18:00:00.000-04:00,3002,9,7
2016-10-05T22:00:00.000-04:00,346,2,1
2016-10-06T11:00:00.000-04:00,153,1,2
2016-10-06T16:00:00.000-04:00,3368,1,1
2016-10-07T11:00:00.000-04:00,2017,2,2
2016-10-07T14:00:00.000-04:00,3224,4,6
2016-10-07T15:00:00.000-04:00,460,1,1
2016-10-07T17:00:00.000-04:00,3427,4,5
2016-10-09T00:00:00.000-04:00,490,1,1
2016-10-09T14:00:00.000-04:00,3135,3,1
2016-10-09T15:00:00.000-04:00,347,2,2
2016-10-10T04:00:00.000-04:00,72,1,1
2016-10-10T17:00:00.000-04:00,2003,3,1
2016-10-11T14:00:00.000-04:00,279,1,1
2016-10-11T18:00:00.000-04:00,168,5,5
2016-10-11T19:00:00.000-04:00,307,5,4
2016-10-13T14:00:00.000-04:00,3346,1,1
2016-10-14T06:00:00.000-04:00,2003,1,1
2016-10-14T15:00:00.000-04:00,457,2,1
2016-10-14T16:00:00.000-04:00,3283,1,2
2016-10-14T19:00:00.000-04:00,116,2,7
2016-10-14T19:00:00.000-04:00,150,1,1
2016-10-14T19:00:00.000-04:00,2012,2,1
2016-10-15T12:00:00.000-04:00,285,5,4
2016-10-15T12:00:00.000-04:00,460,2,2
2016-10-15T14:00:00.000-04:00,3427,5,5
2016-10-15T22:00:00.000-04:00,252,4,3
2016-10-16T12:00:00.000-04:00,536,1,3
2016-10-16T16:00:00.000-04:00,346,4,4
2016-10-17T07:00:00.000-04:00,3078,1,3
2016-10-17T08:00:00.000-04:00,349,2,1
2016-10-17T15:00:00.000-04:00,3140,1,1
2016-10-18T07:00:00.000-04:00,3076,2,1
2016-10-18T10:00:00.000-04:00,472,2,1
2016-10-18T11:00:00.000-04:00,500,2,1
2016-10-18T12:00:00.000-04:00,2002,1,2
2016-10-19T09:00:00.000-04:00,530,1,3
2016-10-19T10:00:00.000-04:00,312,1,1
2016-10-19T14:00:00.000-04:00,472,3,2
2016-10-19T17:00:00.000-04:00,307,3,3
2016-10-19T17:00:00.000-04:00,346,1,7
2016-10-19T18:00:00.000-04:00,319,2,4
2016-10-19T18:00:00.000-04:00,472,4,7
2016-10-19T20:00:00.000-04:00,3175,1,3
2016-10-20T07:00:00.000-04:00,3148,1,2
2016-10-20T08:00:00.000-04:00,195,7,5
2016-10-20T08:00:00.000-04:00,3368,2,1
2016-10-20T12:00:00.000-04:00,2003,1,1
2016-10-20T14:00:00.000-04:00,161,7,2
2016-10-20T16:00:00.000-04:00,445,6,1
2016-10-20T18:00:00.000-04:00,150,1,3
2016-10-20T18:00:00.000-04:00,3078,1,1
2016-10-21T07:00:00.000-04:00,3124,1,1
2016-10-21T08:00:00.000-04:00,259,2,4
2016-10-21T17:00:00.000-04:00,322,1,1
2016-10-22T13:00:00.000-04:00,530,2,1
2016-10-22T14:00:00.000-04:00,346,3,2
2016-10-22T19:00:00.000-04:00,2012,1,1
2016-10-23T16:00:00.000-04:00,238,5,2
2016-10-23T19:00:00.000-04:00,2012,1,1
2016-10-24T17:00:00.000-04:00,536,3,1
2016-10-24T17:00:00.000-04:00,3002,11,5
2016-10-24T23:00:00.000-04:00,153,1,1
2016-10-25T08:00:00.000-04:00,3175,1,2
2016-10-25T12:00:00.000-04:00,347,2,1
2016-10-25T15:00:00.000-04:00,153,2,1
2016-10-25T22:00:00.000-04:00,3417,1,1
2016-10-25T23:00:00.000-04:00,312,2,3
2016-10-26T16:00:00.000-04:00,500,6,1
2016-10-26T19:00:00.000-04:00,2004,1,1
2016-10-28T07:00:00.000-04:00,500,2,3
2016-10-28T08:00:00.000-04:00,2002,1,1
2016-10-28T11:00:00.000-04:00,536,1,1
2016-10-28T19:00:00.000-04:00,348,3,1
2016-10-29T11:00:00.000-04:00,3150,2,2
2016-10-29T17:00:00.000-04:00,347,3,1
2016-10-29T20:00:00.000-04:00,536,2,1
2016-10-30T15:00:00.000-04:00,307,3,1
2016-10-31T09:00:00.000-04:00,2002,2,1
2016-10-31T17:00:00.000-04:00,289,1,1
2016-11-01T09:00:00.000-04:00,3246,2,1
2016-11-01T19:00:00.000-04:00,244,2,1
2016-11-02T19:00:00.000-04:00,461,3,1
2016-11-03T13:00:00.000-04:00,168,3,4
2016-11-03T13:00:00.000-04:00,312,1,1
2016-11-03T16:00:00.000-04:00,150,1,2
2016-11-03T16:00:00.000-04:00,3387,1,2
2016-11-04T17:00:00.000-04:00,395,1,1
2016-11-04T17:00:00.000-04:00,3255,5,5
2016-11-04T20:00:00.000-04:00,454,1,1
2016-11-05T08:00:00.000-04:00,472,2,1
2016-11-05T11:00:00.000-04:00,2012,3,2
2016-11-05T14:00:00.000-04:00,365,3,1
2016-11-06T20:00:00.000-05:00,3148,1,1
2016-11-07T08:00:00.000-05:00,490,7,6
2016-11-08T08:00:00.000-05:00,168,3,2
2016-11-08T20:00:00.000-05:00,347,5,3
2016-11-09T13:00:00.000-05:00,457,2,2
2016-11-09T18:00:00.000-05:00,461,2,2
2016-11-10T18:00:00.000-05:00,2003,3,6
2016-11-10T19:00:00.000-05:00,72,1,1
2016-11-11T09:00:00.000-05:00,143,3,2
2016-11-11T09:00:00.000-05:00,279,1,1
2016-11-11T09:00:00.000-05:00,2002,3,1
2016-11-11T10:00:00.000-05:00,279,1,1
2016-11-12T13:00:00.000-05:00,536,1,1
2016-11-12T15:00:00.000-05:00,319,1,1
2016-11-13T08:00:00.000-05:00,3148,1,1
2016-11-13T10:00:00.000-05:00,152,1,1
2016-11-13T12:00:00.000-05:00,457,2,4
2016-11-13T13:00:00.000-05:00,3383,1,1
2016-11-13T16:00:00.000-05:00,307,4,1
2016-11-13T21:00:00.000-05:00,526,1,1
2016-11-14T13:00:00.000-05:00,534,1,2
2016-11-14T15:00:00.000-05:00,3175,1,3
2016-11-15T16:00:00.000-05:00,307,1,2
2016-11-17T09:00:00.000-05:00,307,1,3
2016-11-18T13:00:00.000-05:00,252,1,1
2016-11-18T15:00:00.000-05:00,457,4,1
2016-11-19T11:00:00.000-05:00,351,1,1
2016-11-19T15:00:00.000-05:00,307,2,1
2016-11-19T15:00:00.000-05:00,2002,2,2
2016-11-19T16:00:00.000-05:00,346,2,4
2016-11-20T13:00:00.000-05:00,346,1,2
2016-11-21T17:00:00.000-05:00,490,4,6
2016-11-21T18:00:00.000-05:00,526,4,2
2016-11-22T08:00:00.000-05:00,526,1,2
2016-11-22T13:00:00.000-05:00,3359,1,1
2016-11-22T14:00:00.000-05:00,472,2,2
2016-11-23T11:00:00.000-05:00,416,1,1
2016-11-23T21:00:00.000-05:00,3283,2,1
2016-11-25T15:00:00.000-05:00,3427,2,1
2016-11-26T15:00:00.000-05:00,324,2,1
2016-11-27T09:00:00.000-05:00,279,1,2
2016-11-27T12:00:00.000-05:00,2003,2,2
2016-11-27T17:00:00.000-05:00,3315,1,1
2016-11-28T10:00:00.000-05:00,280,2,5
2016-11-28T10:00:00.000-05:00,351,2,1
2016-11-28T16:00:00.000-05:00,3415,1,1
2016-11-28T19:00:00.000-05:00,3135,2,2
2016-11-28T20:00:00.000-05:00,472,4,2
2016-11-29T06:00:00.000-05:00,3148,1,1
2016-11-30T21:00:00.000-05:00,349,1,1
2016-12-01T11:00:00.000-05:00,238,1,2
2016-12-02T09:00:00.000-05:00,2017,1,1
2016-12-02T18:00:00.000-05:00,3224,1,3
2016-12-03T11:00:00.000-05:00,150,1,1
2016-12-03T11:00:00.000-05:00,490,1,2
2016-12-03T14:00:00.000-05:00,461,3,3
2016-12-03T14:00:00.000-05:00,2017,1,1
2016-12-03T15:00:00.000-05:00,348,1,4
2016-12-04T11:00:00.000-05:00,461,1,4
2016-12-04T12:00:00.000-05:00,467,1,1
2016-12-04T14:00:00.000-05:00,3078,1,1
2016-12-04T15:00:00.000-05:00,252,3,3
2016-12-05T07:00:00.000-05:00,3135,1,1
2016-12-05T15:00:00.000-05:00,285,2,1
2016-12-05T16:00:00.000-05:00,461,3,4
2016-12-06T18:00:00.000-05:00,2012,1,2
2016-12-07T18:00:00.000-05:00,2017,4,1
2016-12-08T10:00:00.000-05:00,490,1,3
2016-12-08T12:00:00.000-05:00,280,3,2
2016-12-09T08:00:00.000-05:00,285,1,9
2016-12-09T17:00:00.000-05:00,143,4,1
2016-12-12T13:00:00.000-05:00,526,1,1
2016-12-12T23:00:00.000-05:00,3255,1,1
2016-12-13T06:00:00.000-05:00,319,1,2
2016-12-13T08:00:00.000-05:00,143,3,4
2016-12-13T09:00:00.000-05:00,161,3,1
2016-12-13T19:00:00.000-05:00,3158,2,1
2016-12-14T19:00:00.000-05:00,347,2,1
2016-12-15T09:00:00.000-05:00,3255,5,5
2016-12-15T16:00:00.000-05:00,307,1,1
2016-12-15T17:00:00.000-05:00,500,5,2
2016-12-15T19:00:00.000-05:00,2003,1,3
2016-12-16T08:00:00.000-05:00,467,1,1
2016-12-16T10:00:00.000-05:00,3255,2,2
2016-12-19T15:00:00.000-05:00,238,1,1
2016-12-19T20:00:00.000-05:00,2002,3,1
2016-12-20T20:00:00.000-05:00,3175,1,2
2016-12-21T07:00:00.000-05:00,500,4,2
2016-12-22T08:00:00.000-05:00,347,2,7
2016-12-24T16:00:00.000-05:00,468,1,1
2016-12-27T09:00:00.000-05:00,2017,1,1
2016-12-28T18:00:00.000-05:00,252,1,2
2017-01-03T09:00:00.000-05:00,161,1,1
2017-01-03T11:00:00.000-05:00,168,1,1
2017-01-04T01:00:00.000-05:00,2012,1,1
2017-01-06T20:00:00.000-05:00,143,1,1
2017-01-09T09:00:00.000-05:00,3255,1,1
2017-01-09T17:00:00.000-05:00,168,2,4
2017-01-10T17:00:00.000-05:00,3175,1,1
2017-01-11T11:00:00.000-05:00,472,5,2
2017-01-11T11:00:00.000-05:00,526,1,1
2017-01-12T23:00:00.000-05:00,461,1,3
2017-01-13T07:00:00.000-05:00,3427,2,1
2017-01-13T12:00:00.000-05:00,324,1,2
2017-01-13T18:00:00.000-05:00,307,1,2
2017-01-14T09:00:00.000-05:00,445,1,2
2017-01-17T09:00:00.000-05:00,153,1,3
2017-01-17T11:00:00.000-05:00,468,1,1
2017-01-19T07:00:00.000-05:00,3306,1,1
2017-01-19T08:00:00.000-05:00,537,2,5
2017-01-19T09:00:00.000-05:00,500,3,4
2017-01-19T13:00:00.000-05:00,3341,1,1
2017-01-19T16:00:00.000-05:00,3383,3,1
2017-01-20T08:00:00.000-05:00,3224,1,3
2017-01-20T09:00:00.000-05:00,3158,1,1
2017-01-21T12:00:00.000-05:00,259,1,1
2017-01-21T17:00:00.000-05:00,285,4,3
2017-01-21T19:00:00.000-05:00,3224,2,1
2017-01-27T06:00:00.000-05:00,285,1,1
2017-01-27T16:00:00.000-05:00,461,1,1
2017-01-28T16:00:00.000-05:00,395,1,1
2017-01-29T13:00:00.000-05:00,312,4,4
2017-01-29T16:00:00.000-05:00,349,1,2
2017-01-29T18:00:00.000-05:00,2002,1,1
2017-01-30T06:00:00.000-05:00,526,3,1
2017-01-30T09:00:00.000-05:00,526,1,4
2017-01-30T17:00:00.000-05:00,537,4,2
2017-01-31T20:00:00.000-05:00,537,1,1
2017-02-01T08:00:00.000-05:00,536,1,3
2017-02-01T08:00:00.000-05:00,3078,1,1
2017-02-01T13:00:00.000-05:00,472,1,3
2017-02-01T20:00:00.000-05:00,3417,1,1
2017-02-02T07:00:00.000-05:00,153,2,3
2017-02-02T07:00:00.000-05:00,346,2,1
2017-02-02T19:00:00.000-05:00,307,1,3
2017-02-03T08:00:00.000-05:00,307,1,2
2017-02-04T12:00:00.000-05:00,168,2,1
2017-02-05T13:00:00.000-05:00,347,2,2
2017-02-06T15:00:00.000-05:00,347,1,1
2017-02-07T07:00:00.000-05:00,3255,4,1
2017-02-08T05:00:00.000-05:00,488,2,1
2017-02-08T15:00:00.000-05:00,536,2,3
2017-02-11T17:00:00.000-05:00,3158,1,1
2017-02-12T01:00:00.000-05:00,467,1,1
2017-02-14T07:00:00.000-05:00,3312,1,1
2017-02-14T09:00:00.000-05:00,168,3,7
2017-02-14T16:00:00.000-05:00,3255,3,9
2017-02-14T18:00:00.000-05:00,457,1,1
2017-02-15T19:00:00.000-05:00,307,2,1
2017-02-15T19:00:00.000-05:00,537,4,1
2017-02-16T15:00:00.000-05:00,445,1,1
2017-02-18T10:00:00.000-05:00,168,2,1
2017-02-19T17:00:00.000-05:00,348,3,2
2017-02-20T07:00:00.000-05:00,3255,2,3
2017-02-20T08:00:00.000-05:00,143,1,1
2017-02-20T18:00:00.000-05:00,530,2,1
2017-02-20T19:00:00.000-05:00,3346,1,1
2017-02-21T09:00:00.000-05:00,161,1,2
2017-02-21T16:00:00.000-05:00,467,1,1
2017-02-22T10:00:00.000-05:00,490,2,1
2017-02-22T18:00:00.000-05:00,3135,2,1
2017-02-23T07:00:00.000-05:00,3344,1,1
2017-02-23T07:00:00.000-05:00,3447,1,1
2017-02-23T08:00:00.000-05:00,349,6,1
2017-02-23T08:00:00.000-05:00,2017,1,4
2017-02-23T21:00:00.000-05:00,150,2,1
2017-02-24T11:00:00.000-05:00,322,1,1
2017-02-24T14:00:00.000-05:00,490,4,2
2017-02-25T10:00:00.000-05:00,252,1,1
2017-02-26T16:00:00.000-05:00,3165,1,4
2017-02-27T17:00:00.000-05:00,312,2,1
2017-02-28T08:00:00.000-05:00,260,1,6
2017-02-28T10:00:00.000-05:00,530,1,2
2017-02-28T16:00:00.000-05:00,461,4,1
2017-02-28T17:00:00.000-05:00,3175,2,1
2017-03-02T08:00:00.000-05:00,312,2,2
2017-03-02T16:00:00.000-05:00,537,1,1
2017-03-02T17:00:00.000-05:00,161,2,2
2017-03-04T18:00:00.000-05:00,351,2,2
2017-03-06T08:00:00.000-05:00,3373,1,1
2017-03-06T09:00:00.000-05:00,457,3,2
2017-03-06T17:00:00.000-05:00,3158,3,1
2017-03-07T14:00:00.000-05:00,490,3,1
2017-03-07T18:00:00.000-05:00,488,1,2
2017-03-08T13:00:00.000-05:00,195,1,1
2017-03-09T09:00:00.000-05:00,259,1,1
2017-03-09T09:00:00.000-05:00,3224,3,2
2017-03-09T17:00:00.000-05:00,3002,5,3
2017-03-12T10:00:00.000-04:00,195,1,1
2017-03-12T18:00:00.000-04:00,116,1,3
2017-03-20T20:00:00.000-04:00,280,2,1
2017-03-21T14:00:00.000-04:00,3427,2,1
2017-03-21T17:00:00.000-04:00,488,3,4
2017-03-22T10:00:00.000-04:00,347,1,1
2017-03-22T18:00:00.000-04:00,2003,1,1
2017-03-22T19:00:00.000-04:00,3224,2,1
2017-03-23T08:00:00.000-04:00,3348,2,1
2017-03-23T10:00:00.000-04:00,530,1,2
2017-03-23T18:00:00.000-04:00,348,8,1
2017-03-25T17:00:00.000-04:00,279,1,1
2017-03-26T11:00:00.000-04:00,285,1,2
2017-03-26T14:00:00.000-04:00,445,3,2
2017-03-26T15:00:00.000-04:00,488,1,1
2017-03-27T07:00:00.000-04:00,530,1,1
2017-03-29T05:00:00.000-04:00,461,1,1
2017-03-29T08:00:00.000-04:00,445,6,2
2017-03-29T18:00:00.000-04:00,349,2,1
2017-03-29T18:00:00.000-04:00,3376,1,1
2017-03-29T19:00:00.000-04:00,72,3,2
2017-03-30T09:00:00.000-04:00,3373,1,1
2017-03-30T10:00:00.000-04:00,153,1,3
2017-03-30T10:00:00.000-04:00,3078,1,1
2017-03-30T21:00:00.000-04:00,472,1,1
2017-04-02T17:00:00.000-04:00,238,2,3
2017-04-03T08:00:00.000-04:00,467,1,2
2017-04-03T12:00:00.000-04:00,153,3,4
2017-04-03T15:00:00.000-04:00,3165,1,4
2017-04-04T18:00:00.000-04:00,2002,2,3
2017-04-05T12:00:00.000-04:00,3427,1,2
2017-04-05T15:00:00.000-04:00,259,1,1
2017-04-05T18:00:00.000-04:00,3224,3,7
2017-04-05T18:00:00.000-04:00,3359,3,1
2017-04-07T08:00:00.000-04:00,347,1,4
2017-04-07T09:00:00.000-04:00,500,3,2
2017-04-07T13:00:00.000-04:00,279,2,1
2017-04-08T18:00:00.000-04:00,3312,1,1
2017-04-09T10:00:00.000-04:00,2002,1,2
2017-04-10T15:00:00.000-04:00,3135,1,1
2017-04-11T22:00:00.000-04:00,280,1,3
2017-04-12T08:00:00.000-04:00,490,9,2
2017-04-12T20:00:00.000-04:00,3158,5,2
