datetime,station_id,totalDemand,totalSupply
2016-10-02T10:00:00.000-04:00,468,2,1
2016-10-02T17:00:00.000-04:00,2012,1,1
2016-10-03T14:00:00.000-04:00,161,1,2
2016-10-03T20:00:00.000-04:00,322,1,1
2016-10-03T21:00:00.000-04:00,319,1,1
2016-10-04T13:00:00.000-04:00,3135,1,2
2016-10-04T22:00:00.000-04:00,536,1,2
2016-10-05T08:00:00.000-04:00,3135,6,1
2016-10-05T14:00:00.000-04:00,152,2,1
2016-10-05T16:00:00.000-04:00,168,4,6
2016-10-05T16:00:00.000-04:00,2003,1,2
2016-10-05T21:00:00.000-04:00,3175,1,3
2016-10-06T10:00:00.000-04:00,536,2,2
2016-10-06T17:00:00.000-04:00,280,2,3
2016-10-07T06:00:00.000-04:00,2012,1,2
2016-10-07T09:00:00.000-04:00,3175,1,1
2016-10-07T15:00:00.000-04:00,2003,1,5
2016-10-07T17:00:00.000-04:00,285,9,7
2016-10-07T17:00:00.000-04:00,3165,4,4
2016-10-07T19:00:00.000-04:00,369,1,4
2016-10-08T11:00:00.000-04:00,472,1,2
2016-10-09T18:00:00.000-04:00,3255,5,6
2016-10-10T12:00:00.000-04:00,143,2,1
2016-10-10T13:00:00.000-04:00,153,2,3
2016-10-10T18:00:00.000-04:00,349,2,2
2016-10-10T19:00:00.000-04:00,3224,3,3
2016-10-11T06:00:00.000-04:00,195,1,1
2016-10-11T07:00:00.000-04:00,2012,1,2
2016-10-11T10:00:00.000-04:00,3140,3,1
2016-10-11T15:00:00.000-04:00,445,1,3
2016-10-12T08:00:00.000-04:00,457,5,6
2016-10-12T09:00:00.000-04:00,244,1,1
2016-10-13T12:00:00.000-04:00,3427,4,3
2016-10-13T15:00:00.000-04:00,468,2,1
2016-10-13T17:00:00.000-04:00,526,2,4
2016-10-13T22:00:00.000-04:00,3140,2,2
2016-10-14T07:00:00.000-04:00,143,1,3
2016-10-14T11:00:00.000-04:00,3283,1,1
2016-10-14T14:00:00.000-04:00,346,1,2
2016-10-14T14:00:00.000-04:00,3175,2,3
2016-10-14T16:00:00.000-04:00,195,3,2
2016-10-14T17:00:00.000-04:00,460,2,3
2016-10-14T18:00:00.000-04:00,530,2,3
2016-10-15T13:00:00.000-04:00,3427,2,8
2016-10-15T14:00:00.000-04:00,534,2,1
2016-10-15T14:00:00.000-04:00,3107,3,3
2016-10-15T17:00:00.000-04:00,72,3,5
2016-10-15T19:00:00.000-04:00,3158,1,3
2016-10-16T10:00:00.000-04:00,461,1,1
2016-10-16T12:00:00.000-04:00,3241,1,1
2016-10-16T16:00:00.000-04:00,3283,1,3
2016-10-16T21:00:00.000-04:00,319,1,1
2016-10-17T10:00:00.000-04:00,153,1,1
2016-10-17T14:00:00.000-04:00,72,1,1
2016-10-17T15:00:00.000-04:00,445,3,3
2016-10-17T15:00:00.000-04:00,3166,2,2
2016-10-17T16:00:00.000-04:00,195,2,1
2016-10-18T10:00:00.000-04:00,457,4,4
2016-10-18T13:00:00.000-04:00,3427,3,4
2016-10-18T20:00:00.000-04:00,3166,1,2
2016-10-19T09:00:00.000-04:00,490,8,7
2016-10-19T11:00:00.000-04:00,348,3,1
2016-10-20T17:00:00.000-04:00,2003,6,5
2016-10-20T20:00:00.000-04:00,161,5,3
2016-10-20T22:00:00.000-04:00,468,1,2
2016-10-20T22:00:00.000-04:00,3107,2,1
2016-10-20T23:00:00.000-04:00,445,1,1
2016-10-21T17:00:00.000-04:00,3308,1,1
2016-10-22T11:00:00.000-04:00,195,1,4
2016-10-22T17:00:00.000-04:00,279,1,1
2016-10-22T19:00:00.000-04:00,259,1,1
2016-10-24T08:00:00.000-04:00,347,1,4
2016-10-24T14:00:00.000-04:00,3427,8,3
